ARENA_NAME,LOCATION_CITY,LOCATION_STATE
State Farm Arena,Atlanta,Georgia
TD Garden,Boston,Massachusetts
Barclays Center,Brooklyn,New York
Spectrum Center,Charlotte,North Carolina
United Center,Chicago,Illinois
Quicken Loans Arena,Cleveland,Ohio
American Airlines Center,Dallas,Texas
Pepsi Center,Denver,Colorado
Little Caesars Arena,Detroit,Michigan
Oracle Arena,Oakland,California
Toyota Center,Houston,Texas
Bankers Life Fieldhouse,Indianapolis,Indiana
STAPLES Center,Los Angeles,California
FedEx Forum,Memphis,Tennessee
AmericanAirlines Arena,Miami,Florida
Fiserv Forum,Milwaukee,Wisconsin
Target Center,Minneapolis,Minnesota
Smoothie King Center,New Orleans,Louisiana
Madison Square Garden (IV),New York,New York
Chesapeake Energy Arena,Oklahoma City,Oklahoma
Amway Center,Orlando,Florida
Wells Fargo Center,Philadelphia,Pennsylvania
Talking Stick Resort Arena,Phoenix,Arizona
Moda Center,Portland,Oregon
Golden 1 Center,Sacramento,California
AT&T Center,San Antonio,Texas
Scotiabank Arena,Toronto,Canada
Vivint Smart Home Arena,Salt Lake City,Utah
Capital One Arena,Washington,District of Columbia
