HOME_TEAM,AWAY_TEAM,GAME_DATE,HOME_GAME_NUMBER,HOME_POINTS,HOME_TEAM_RESULT,HOME_FIELD_GOALS,HOME_FIELD_GOALS_ATTEMPTED,HOME_FIELD_GOALS_PERCENTAGE,HOME_X3POINTSHOTS,HOME_X3POINTSHOTS_ATTEMPTED,HOME_X3POINTSHOTS_PERCENTAGE,HOME_FREETHROWS,HOME_FREETHROWS_ATTEMPTED,HOME_FREETHROWS_PERCENTAGE,HOME_OFFREBOUNDS,HOME_TOTALREBOUNDS,HOME_ASSISTS,HOME_STEALS,HOME_BLOCKS,HOME_TURNOVERS,HOME_TOTALFOULS,AWAY_GAME_NUMBER,AWAY_POINTS,AWAY_TEAM_RESULT,AWAY_FIELD_GOALS,AWAY_FIELD_GOALS_ATTEMPTED,AWAY_FIELD_GOALS_PERCENTAGE,AWAY_X3POINTSHOTS,AWAY_X3POINTSHOTS_ATTEMPTED,AWAY_X3POINTSHOTS_PERCENTAGE,AWAY_FREETHROWS,AWAY_FREETHROWS_ATTEMPTED,AWAY_FREETHROWS_PERCENTAGE,AWAY_OFFREBOUNDS,AWAY_TOTALREBOUNDS,AWAY_ASSISTS,AWAY_STEALS,AWAY_BLOCKS,AWAY_TURNOVERS,AWAY_TOTALFOULS
LAL,HOU,28/10/2014,1,90,L,28,79,0.354,3,10,0.3,31,39,0.795,11,36,16,7,3,11,32,1,108,W,31,73,0.425,12,29,0.414,34,50,0.68,14,47,22,7,3,13,30
NOP,ORL,28/10/2014,1,101,W,41,101,0.406,4,17,0.235,15,31,0.484,26,62,20,10,17,9,17,1,84,L,32,84,0.381,4,11,0.364,16,21,0.762,16,56,17,5,9,18,25
SAS,DAL,28/10/2014,1,101,W,37,70,0.529,14,28,0.5,13,16,0.813,9,38,23,5,3,20,20,1,100,L,38,78,0.487,8,21,0.381,16,19,0.842,9,33,17,9,3,10,20
BOS,BRK,29/10/2014,1,121,W,49,88,0.557,8,22,0.364,15,23,0.652,9,35,28,11,5,12,25,1,105,L,39,80,0.488,7,19,0.368,20,26,0.769,9,39,20,6,7,20,21
CHO,MIL,29/10/2014,1,108,W,41,101,0.406,6,21,0.286,20,29,0.69,15,50,27,8,9,10,20,1,106,L,39,80,0.488,7,14,0.5,21,24,0.875,3,35,25,9,10,14,25
DEN,DET,29/10/2014,1,89,W,30,85,0.353,6,24,0.25,23,31,0.742,14,51,17,7,4,15,21,1,79,L,31,84,0.369,6,26,0.231,11,19,0.579,8,45,15,4,5,15,27
IND,PHI,29/10/2014,1,103,W,38,81,0.469,8,25,0.32,19,28,0.679,14,50,22,5,13,17,24,1,91,L,34,89,0.382,6,21,0.286,17,30,0.567,15,42,17,10,5,11,29
MEM,MIN,29/10/2014,1,105,W,43,82,0.524,4,15,0.267,15,20,0.75,10,33,21,10,5,17,21,1,101,L,39,86,0.453,6,12,0.5,17,23,0.739,19,47,20,8,4,23,21
MIA,WAS,29/10/2014,1,107,W,39,81,0.481,9,28,0.321,20,23,0.87,12,44,20,9,3,14,17,1,95,L,36,75,0.48,6,19,0.316,17,24,0.708,7,36,20,7,2,14,20
NYK,CHI,29/10/2014,1,80,L,31,85,0.365,3,17,0.176,15,17,0.882,14,38,19,9,5,11,22,1,104,W,36,71,0.507,7,24,0.292,25,30,0.833,10,47,21,9,4,15,18
PHO,LAL,29/10/2014,1,119,W,45,82,0.549,16,32,0.5,13,18,0.722,9,40,23,5,3,14,25,2,99,L,37,86,0.43,4,13,0.308,21,25,0.84,12,38,20,9,3,13,18
POR,OKC,29/10/2014,1,106,W,39,87,0.448,11,29,0.379,17,22,0.773,13,42,23,4,9,10,19,1,89,L,33,81,0.407,2,16,0.125,21,26,0.808,14,43,19,9,5,13,28
SAC,GSW,29/10/2014,1,77,L,24,78,0.308,3,18,0.167,26,35,0.743,15,50,13,11,3,26,26,1,95,W,33,75,0.44,6,27,0.222,23,32,0.719,7,44,21,12,8,22,32
TOR,ATL,29/10/2014,1,109,W,37,90,0.411,8,26,0.308,27,33,0.818,16,48,26,13,9,9,22,1,102,L,40,80,0.5,13,22,0.591,9,17,0.529,10,42,26,6,8,17,24
UTA,HOU,29/10/2014,1,93,L,38,81,0.469,3,18,0.167,14,17,0.824,13,34,16,8,6,13,16,2,104,W,40,77,0.519,14,27,0.519,10,14,0.714,8,35,18,7,6,18,23
CLE,NYK,30/10/2014,1,90,L,32,70,0.457,9,24,0.375,17,20,0.85,11,33,22,5,2,19,15,2,95,W,37,69,0.536,6,12,0.5,15,18,0.833,9,35,30,9,1,15,26
DAL,UTA,30/10/2014,2,120,W,47,85,0.553,8,21,0.381,18,23,0.783,13,44,25,8,5,9,15,2,102,L,36,83,0.434,14,35,0.4,16,18,0.889,15,40,22,6,0,16,21
