PLAYER_NAME,PLAYER_POSITIONS,PLAYER_AGE,PLAYER_TEAM,G,GS,MP,PTS,TS_PERCENTAGE,FTM,FTA,FT_PERCENTAGE,FGM,FGA,FG_PERCENTAGE,PM3,PA3,P3_PERCENTAGE,PM2,PA2,P2_PERCENTAGE,OREB,OREB_PERCENTAGE,DREB,DREB_PERCENTAGE,TREB,TREB_PERCENTAGE,AST,AST_PERCENTAGE,STL,STL_PERCENTAGE,BLK,BLK_PERCENTAGE,TOV,TOV_PERCENTAGE,USG_PERCENTAGE,OFFWS,DEFWS,WS,WS_48,BPM,VORP,EFG_PERCENTAGE,PF
Bradley Beal,SG,24,WAS,82,82,2977,1857,0.564,292,369,0.791,683,1484,0.46,199,530,0.375,484,954,0.507,61,2.3,302,11.5,363,6.9,373,21,96,1.6,36,1.1,214,11.5,27.6,4.4,2.5,6.9,0.112,1.7,2.7,0.527,160
Tim Frazier,PG,27,WAS,59,11,838,176,0.475,23,30,0.767,68,172,0.395,17,56,0.304,51,116,0.44,18,2.4,97,13.1,115,7.8,194,31.1,47,2.8,7,0.7,57,23.5,12.8,0.4,1,1.4,0.08,-2.1,0,0.445,97
Marcin Gortat,C,33,WAS,82,82,2075,690,0.546,110,163,0.675,290,560,0.518,0,0,,290,560,0.518,181,9.9,442,24,623,17,151,10.6,40,1,61,2.6,99,13.5,15.5,2.4,2.4,4.9,0.113,0.3,1.2,0.518,175
Ian Mahinmi,C,31,WAS,77,0,1145,366,0.601,90,128,0.703,138,248,0.556,0,2,0,138,246,0.561,135,13.4,177,17.4,312,15.4,53,6.6,38,1.6,42,3.2,100,24.7,15.6,0.8,1.4,2.2,0.093,-0.7,0.4,0.556,230
Chris McCullough,PF,22,WAS,19,0,90,46,0.478,9,14,0.643,18,42,0.429,1,8,0.125,17,34,0.5,7,8.8,18,22.6,25,15.7,4,7.1,0,0,5,4.9,2,4,24.6,0.1,0.1,0.2,0.081,-5.7,-0.1,0.44,8
Jodie Meeks,SG,30,WAS,77,0,1119,487,0.548,101,117,0.863,157,393,0.399,72,210,0.343,85,183,0.464,15,1.5,111,11.2,126,6.4,70,9.1,29,1.3,4,0.3,37,7.7,19,1.3,0.8,2,0.087,-2.8,-0.2,0.491,55
Markieff Morris,PF,28,WAS,73,73,1968,841,0.566,105,128,0.82,330,687,0.48,76,207,0.367,254,480,0.529,75,4.3,334,19.2,409,11.8,142,11,56,1.4,38,1.7,127,14.6,19.5,1.2,2.1,3.3,0.08,-0.5,0.7,0.536,216
Kelly Oubre,SF,22,WAS,81,11,2231,953,0.534,191,233,0.82,318,790,0.403,126,369,0.341,192,421,0.456,59,3,304,15.4,363,9.2,98,6.4,80,1.8,35,1.4,90,9.2,19.4,1.4,2.3,3.7,0.08,-1.2,0.4,0.482,234
Otto Porter,SF,24,WAS,77,77,2432,1134,0.602,106,128,0.828,445,885,0.503,138,313,0.441,307,572,0.537,103,4.8,389,18.1,492,11.4,157,10.1,116,2.4,41,1.5,75,7.4,18.4,5,3.1,8.1,0.161,3.6,3.4,0.581,151
Devin Robinson,SF,22,WAS,1,0,13,2,0.333,0,0,,1,3,0.333,0,0,,1,3,0.333,2,17.4,3,26,5,21.7,0,0,1,3.8,0,0,0,0,10.2,0,0,0,0.098,-8.2,0,0.333,2
Tomas Satoransky,SG,26,WAS,73,30,1643,524,0.615,75,96,0.781,201,384,0.523,47,101,0.465,154,283,0.544,72,5,161,11.1,233,8,286,24.8,52,1.6,15,0.8,83,16.3,13.7,3.7,1.3,5,0.145,1.1,1.3,0.585,131
Mike Scott,PF,29,WAS,76,1,1406,668,0.599,50,76,0.658,276,524,0.527,66,163,0.405,210,361,0.582,50,4,197,15.8,247,9.9,80,9.1,23,0.8,10,0.6,79,12.4,20,1.4,1,2.5,0.085,-2.3,-0.1,0.59,148
Ramon Sessions,PG,31,WAS,15,3,225,136,0.533,44,57,0.772,42,117,0.359,8,26,0.308,34,91,0.374,6,2.5,32,7.5,38,5,77,31.1,14,1.5,2,0.4,30,15.4,19.1,0.4,0.1,0.5,0.116,-3.7,-0.1,0.393,29
Ramon Sessions,PG,31,WAS,15,3,225,48,0.533,12,15,0.8,17,53,0.321,2,11,0.182,15,42,0.357,1,2.5,17,7.5,18,5,27,31.1,7,1.5,1,0.4,15,15.4,19.1,0.4,0.1,0.5,0.116,-3.7,-0.1,0.34,14
Ramon Sessions,PG,31,WAS,15,0,225,88,0.533,32,42,0.762,25,64,0.391,6,15,0.4,19,49,0.388,5,2.5,15,7.5,20,5,50,31.1,7,1.5,1,0.4,15,15.4,19.1,0.4,0.1,0.5,0.116,-3.7,-0.1,0.438,15
Jason Smith,C,31,WAS,33,2,285,113,0.455,19,21,0.905,45,115,0.391,4,32,0.125,41,83,0.494,18,7.2,35,13.9,53,10.5,14,7.4,3,0.5,13,4,16,11.4,21.7,-0.2,0.3,0,0.003,-6,-0.3,0.409,44
John Wall,PG,27,WAS,41,41,1410,797,0.515,175,241,0.726,280,667,0.42,62,167,0.371,218,500,0.436,22,1.8,128,10.2,150,6,393,44.5,57,2,45,2.8,158,17,29.1,1.2,1.5,2.7,0.092,1.5,1.2,0.466,80
Tony Bradley,C,20,UTA,9,0,29,8,0.337,2,2,1,3,11,0.273,0,1,0,3,10,0.3,4,15.8,7,27.1,11,21.5,1,5,0,0,0,0,0,0,18.4,0,0,0,0.033,-9.6,-0.1,0.273,1
Alec Burks,SG,26,UTA,64,1,1059,494,0.527,107,124,0.863,170,414,0.411,47,142,0.331,123,272,0.452,19,2.1,173,18.4,192,10.3,67,10,37,1.8,8,0.6,60,11.4,22.5,0.2,1.6,1.9,0.084,-2.8,-0.2,0.467,75
Jae Crowder,SF,27,UTA,27,47,744,773,0.499,121,148,0.818,271,671,0.404,110,341,0.323,161,330,0.488,59,2.8,216,12.7,275,7.8,99,8.6,64,1.6,21,1,74,9.1,21.3,-0.1,1,0.9,0.06,-1.6,0.1,0.486,187
Jae Crowder,SF,27,UTA,27,47,744,454,0.499,78,92,0.848,157,376,0.418,62,189,0.328,95,187,0.508,41,2.8,132,12.7,173,7.8,58,8.6,41,1.6,12,1,42,9.1,21.3,-0.1,1,0.9,0.06,-1.6,0.1,0.5,124
Jae Crowder,SF,27,UTA,27,0,744,319,0.499,43,56,0.768,114,295,0.386,48,152,0.316,66,143,0.462,18,2.8,84,12.7,102,7.8,41,8.6,23,1.6,9,1,32,9.1,21.3,-0.1,1,0.9,0.06,-1.6,0.1,0.468,63
Dante Exum,PG,22,UTA,14,0,235,114,0.566,25,31,0.806,42,87,0.483,5,18,0.278,37,69,0.536,4,2,22,10.5,26,6.3,43,29.7,8,1.7,3,1.1,20,16.6,23.1,0.3,0.3,0.7,0.133,-1.2,0,0.511,20
Derrick Favors,C,26,UTA,77,77,2153,944,0.593,140,215,0.651,395,702,0.563,14,63,0.222,381,639,0.596,198,10.6,354,18.5,552,14.6,102,7.8,54,1.3,82,3.2,88,9.9,18.5,4.5,3.5,8,0.179,2.7,2.5,0.573,164
Rudy Gobert,C,25,UTA,56,56,1816,756,0.657,204,299,0.682,276,444,0.622,0,0,,276,444,0.622,165,10.4,436,27,601,18.8,80,6.9,44,1.2,129,6,107,15.7,16.9,4.2,3.9,8.1,0.214,4.3,2.9,0.622,153
Rodney Hood,SG,25,UTA,39,23,1084,882,0.551,111,129,0.86,322,751,0.429,127,333,0.381,195,418,0.467,22,1.5,143,10.1,165,5.8,95,10.4,45,1.4,12,0.5,70,9.6,27.3,0.6,1.3,1.9,0.085,-1.6,0.1,0.513,105
Rodney Hood,SG,25,UTA,39,12,1084,655,0.551,85,97,0.876,234,552,0.424,102,262,0.389,132,290,0.455,14,1.5,97,10.1,111,5.8,65,10.4,30,1.4,7,0.5,63,9.6,27.3,0.6,1.3,1.9,0.085,-1.6,0.1,0.516,64
Rodney Hood,SG,25,UTA,39,11,1084,227,0.551,26,32,0.813,88,199,0.442,25,71,0.352,63,128,0.492,8,1.5,46,10.1,54,5.8,30,10.4,15,1.4,5,0.5,7,9.6,27.3,0.6,1.3,1.9,0.085,-1.6,0.1,0.505,41
Joe Ingles,SF,30,UTA,82,81,2578,940,0.623,66,83,0.795,335,718,0.467,204,464,0.44,131,254,0.516,24,1.1,320,13.9,344,7.6,392,22.9,90,1.8,20,0.7,159,17.4,15.9,4,3.6,7.6,0.141,3.1,3.3,0.609,178
Jonas Jerebko,PF,30,UTA,74,19,1134,429,0.586,46,57,0.807,159,341,0.466,65,157,0.414,94,184,0.511,53,5.4,193,19.1,246,12.3,42,5.7,24,1.1,12,0.9,27,6.9,15.6,1.8,1.6,3.4,0.144,-0.6,0.4,0.562,127
Joe Johnson,SF,36,UTA,32,4,700,372,0.492,40,45,0.889,146,360,0.406,40,145,0.276,106,215,0.493,14,2,158,15.2,172,8.7,83,9.8,18,0.9,7,0.7,49,11.6,17.2,-0.2,0.8,0.6,0.041,-3.3,-0.2,0.461,67
Joe Johnson,SF,36,UTA,32,3,700,233,0.492,20,24,0.833,95,226,0.42,23,84,0.274,72,142,0.507,12,2,95,15.2,107,8.7,45,9.8,12,0.9,6,0.7,31,11.6,17.2,-0.2,0.8,0.6,0.041,-3.3,-0.2,0.471,32
Joe Johnson,SF,36,UTA,32,1,700,139,0.492,20,21,0.952,51,134,0.381,17,61,0.279,34,73,0.466,2,2,63,15.2,65,8.7,38,9.8,6,0.9,1,0.7,18,11.6,17.2,-0.2,0.8,0.6,0.041,-3.3,-0.2,0.444,35
Erik McCree,SF,24,UTA,4,0,8,0,0,0,0,,0,2,0,0,1,0,0,1,0,0,0,1,14,1,7.1,0,0,1,6.3,0,0,1,33.3,16.9,-0.1,0,-0.1,-0.334,-14.7,0,0,0
Donovan Mitchell,SG,21,UTA,79,71,2638,1616,0.541,239,297,0.805,595,1362,0.437,187,550,0.34,408,812,0.502,52,2.3,244,10.4,296,6.4,291,19.4,118,2.2,27,0.9,215,12.6,29.1,1.4,3.8,5.2,0.095,1.1,2.1,0.506,213
Naz Mitrou-Long,SG,24,UTA,1,0,1,3,1.5,0,0,,1,1,1,1,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0.1,0,0.1,0.101,54.4,0,1.5,0
Raul Neto,PG,25,UTA,41,0,498,183,0.55,26,35,0.743,69,151,0.457,19,47,0.404,50,104,0.481,7,1.6,42,9.5,49,5.6,75,23,13,1.3,4,0.7,36,17.8,18.3,0.3,0.6,0.9,0.086,-3.2,-0.1,0.52,38
Georges Niang,PF,24,UTA,9,0,32,9,0.379,1,2,0.5,4,11,0.364,0,4,0,4,7,0.571,3,10.8,6,21.1,9,16,3,14,2,3.1,0,0,3,20.2,20.9,-0.1,0.1,0,-0.029,-4,0,0.364,1
Ricky Rubio,PG,27,UTA,77,77,2254,1008,0.537,220,254,0.866,346,827,0.418,96,273,0.352,250,554,0.451,44,2.2,307,15.3,351,8.8,410,28.4,121,2.7,11,0.4,207,18.1,22.9,1.5,3.8,5.3,0.112,1.7,2.1,0.476,206
Thabo Sefolosha,SF,33,UTA,38,6,806,312,0.591,44,54,0.815,118,240,0.492,32,84,0.381,86,156,0.551,29,4.1,132,18.4,161,11.3,33,6.3,52,3.2,12,1.3,30,10.2,16.4,1,1.6,2.6,0.156,1.9,0.8,0.558,59
