TEAM_NAME,TEAM_ACRONYM,ARENA_NAME,LOCATION_CITY,LOCATION_STATE
Atlanta Hawks,ATL,State Farm Arena,Atlanta,Georgia
Boston Celtics,BOS,TD Garden,Boston,Massachusetts
Brooklyn Nets,BRK,Barclays Center,Brooklyn,New York
Charlotte Hornets,CHO,Spectrum Center,Charlotte,North Carolina
Chicago Bulls,CHI,United Center,Chicago,Illinois
Cleveland Cavaliers,CLE,Quicken Loans Arena,Cleveland,Ohio
Dallas Mavericks,DAL,American Airlines Center,Dallas,Texas
Denver Nuggets,DEN,Pepsi Center,Denver,Colorado
Detroit Pistons,DET,Little Caesars Arena,Detroit,Michigan
Golden State Warriors,GSW,Oracle Arena,Oakland,California
Houston Rockets,HOU,Toyota Center,Houston,Texas
Indiana Pacers,IND,Bankers Life Fieldhouse,Indianapolis,Indiana
LA Clippers,LAC,STAPLES Center,Los Angeles,California
Los Angeles Lakers,LAL,STAPLES Center,Los Angeles,California
Memphis Grizzlies,MEM,FedEx Forum,Memphis,Tennessee
Miami Heat,MIA,AmericanAirlines Arena,Miami,Florida
Milwaukee Bucks,MIL,Fiserv Forum,Milwaukee,Wisconsin
Minnesota Timberwolves,MIN,Target Center,Minneapolis,Minnesota
New Orleans Pelicans,NOP,Smoothie King Center,New Orleans,Louisiana
New York Knicks,NYK,Madison Square Garden (IV),New York,New York
Oklahoma City Thunder,OKC,Chesapeake Energy Arena,Oklahoma City,Oklahoma
Orlando Magic,ORL,Amway Center,Orlando,Florida
Philadelphia 76ers,PHI,Wells Fargo Center,Philadelphia,Pennsylvania
Phoenix Suns,PHO,Talking Stick Resort Arena,Phoenix,Arizona
Portland Trail Blazers,POR,Moda Center,Portland,Oregon
Sacramento Kings,SAC,Golden 1 Center,Sacramento,California
San Antonio Spurs,SAS,AT&T Center,San Antonio,Texas
Toronto Raptors,TOR,Scotiabank Arena,Toronto,Canada
Utah Jazz,UTA,Vivint Smart Home Arena,Salt Lake City,Utah
Washington Wizards,WAS,Capital One Arena,Washington,District of Columbia
